id,F5,F2,F4,F1,F6,F3
1,28,48,17,31,18,20
2,27,47,17,31,20,19
3,32,46,18,36,17,19
4,30,54,15,32,16,12
5,36,47,19,37,19,22
6,37,51,23,36,24,20
7,29,56,19,36,22,22
8,29,49,21,39,16,18
9,30,52,22,36,19,21
10,40,58,19,35,23,28
11,31,48,19,33,20,20
12,29,56,22,38,19,28
13,33,45,16,30,18,18
14,31,52,18,30,18,23
15,30,49,19,30,23,17
16,31,54,23,30,11,26
17,29,55,18,32,21,18
18,22,51,14,33,23,6
19,39,55,19,36,21,21
20,27,41,16,31,16,17
21,26,60,21,32,17,22
22,33,55,18,36,17,12
23,35,51,16,30,21,22
24,28,51,20,34,21,17
25,24,53,17,38,18,24
26,27,44,16,29,17,16
27,31,51,19,32,19,20
28,27,50,11,27,18,20
29,22,53,17,29,18,16
30,31,47,19,31,15,18
31,35,57,20,36,22,22
32,30,50,15,34,21,19
33,28,52,16,29,21,18
34,33,57,24,38,21,16
35,27,52,20,31,19,17
36,34,47,22,25,19,14
37,30,55,21,36,23,16
38,29,43,12,25,16,10
39,25,45,16,23,15,15
40,29,51,21,36,20,17
41,20,44,12,24,12,17
42,35,52,17,34,18,23
43,32,56,16,36,23,14
44,33,54,18,32,20,20
45,32,58,21,38,20,17
46,33,57,19,26,20,23
47,26,51,17,27,19,21
48,37,54,16,36,19,20
49,28,49,19,32,20,17
50,29,49,19,32,16,22
51,29,52,17,34,23,24
52,30,51,20,32,19,18
53,34,56,18,39,22,22
54,38,58,19,38,22,25
55,27,48,18,31,18,24
56,26,51,17,35,16,14
57,32,55,24,39,18,21
58,24,51,19,35,18,15
59,31,53,16,35,23,24
60,30,57,16,38,18,29
61,34,53,25,29,19,22
62,31,53,23,34,19,23
63,32,49,18,34,17,18
64,32,56,18,37,19,23
65,26,49,25,30,10,24
66,30,52,16,28,17,9
67,37,58,20,38,21,25
68,33,56,14,38,18,23
69,29,60,24,35,21,23
70,38,60,22,36,24,23
71,37,59,21,40,21,22
72,27,55,17,35,16,22
73,30,57,23,38,17,30
74,27,56,16,35,22,24
75,32,51,21,30,15,20
76,33,45,19,37,19,16
77,30,48,19,32,18,19
78,27,49,18,33,20,13
79,32,54,21,36,19,15
80,32,58,25,40,23,28
81,29,57,20,38,20,22
82,29,53,18,30,21,20
83,34,56,17,30,21,18
84,27,49,19,31,17,20
85,32,52,24,29,14,20
86,29,47,16,31,12,11
87,27,52,18,31,17,15
88,31,47,20,36,16,21
89,31,49,17,31,16,21
90,33,54,20,36,17,17
91,31,58,25,34,20,21
92,33,52,17,30,18,16
93,37,55,23,39,20,15
94,28,51,17,30,22,24
95,33,59,16,37,21,25
96,35,52,18,34,22,19
97,26,48,16,30,17,13
98,37,58,24,36,17,18
99,33,53,18,36,21,19
100,27,49,18,26,21,18
101,30,49,18,32,16,19
102,32,48,16,31,17,23
103,33,56,19,32,21,23
104,26,48,18,30,15,23
105,28,48,13,30,17,18
106,32,45,13,35,18,22
107,30,51,21,31,16,17
108,27,54,20,32,17,25
109,28,56,24,32,18,22
110,33,59,22,37,23,19
111,25,46,19,33,15,24
112,31,54,20,38,17,23
113,33,52,22,35,18,23
114,26,50,24,33,17,21
115,25,50,21,35,20,24
116,32,54,13,33,20,14
117,31,55,19,39,20,24
118,31,49,17,28,17,21
119,29,49,20,32,17,18
120,32,57,22,37,19,22
121,17,55,24,24,16,6
122,26,52,16,33,16,21
123,25,43,19,29,15,17
124,37,56,17,37,19,22
125,29,47,18,32,18,23
126,31,46,21,35,19,12
127,32,49,17,31,20,20
128,30,53,16,32,19,22
129,31,51,13,29,17,14
130,35,51,24,35,18,23
131,32,58,19,39,23,22
132,34,57,18,38,24,22
133,28,48,18,31,12,18
134,31,54,19,31,13,17
135,32,51,22,39,19,22
136,32,59,21,37,21,13
137,30,44,10,34,17,15
138,32,52,21,33,23,20
139,36,52,13,34,23,21
140,29,49,16,30,18,18
141,28,58,22,34,20,20
142,35,54,16,38,20,21
143,27,49,16,36,22,16
144,33,50,16,39,20,23
145,29,49,20,37,18,13
146,35,50,14,37,22,13
147,29,51,16,33,19,20
148,30,52,16,30,16,15
149,28,55,23,35,21,18
150,29,59,24,38,21,28
151,34,58,25,40,17,9
152,35,49,13,33,17,22
153,34,51,20,27,17,21
154,34,55,19,40,19,24
155,29,46,16,27,17,21
156,36,54,25,39,24,24
157,32,57,16,40,24,22
158,32,50,20,34,18,15
159,26,48,16,26,14,12
160,28,51,17,31,18,22
161,32,48,20,32,18,22
162,28,47,14,33,17,23
163,29,51,22,35,22,25
